species,family,freshwater,marine,depth_min,depth_max,depth_cat
Alepocephalus_agassizii,Alepocephalidae,0,1,600,2500,deep
Alepocephalus_antipodianus,Alepocephalidae,0,1,430,1160,deep
Alepocephalus_bairdii,Alepocephalidae,0,1,365,1700,deep
Alepocephalus_bicolor,Alepocephalidae,0,1,439,1080,deep
Alepocephalus_owstoni,Alepocephalidae,0,1,600,1000,deep
Alepocephalus_tenebrosus,Alepocephalidae,0,1,46,5500,deep
Bathylaco_nigricans,Alepocephalidae,0,1,450,4540,deep
Rouleina_attrita,Alepocephalidae,0,1,450,2300,deep
Talismania_bifurcata,Alepocephalidae,0,1,300,2000,deep
Talismania_longifilis,Alepocephalidae,0,1,750,1550,deep
Xenodermichthys_copei,Alepocephalidae,0,1,100,2650,deep
Ambassis_miops,Ambassidae,1,1,0,2,shallow
Ammodytes_americanus,Ammodytidae,0,1,0,73,shallow
Ammodytes_dubius,Ammodytidae,0,1,0,108,shallow
Ammodytes_hexapterus,Ammodytidae,0,1,0,275,intermediate
Ammodytes_personatus,Ammodytidae,0,1,0,172,shallow
Ammodytes_tobianus,Ammodytidae,0,1,1,96,shallow
Hyperoplus_lanceolatus,Ammodytidae,0,1,6,30,shallow
Anarhichas_denticulatus,Anarhichadidae,0,1,60,1700,deep
Anarhichas_lupus,Anarhichadidae,0,1,1,600,intermediate
Anarhichas_minor,Anarhichadidae,0,1,25,600,intermediate
Anarhichas_orientalis,Anarhichadidae,0,1,0,100,shallow
Anarrhichthys_ocellatus,Anarhichadidae,0,1,1,226,intermediate
Anguilla_anguilla,Anguillidae,1,1,0,700,intermediate
Anguilla_japonica,Anguillidae,1,1,1,400,intermediate
Anguilla_marmorata,Anguillidae,1,1,1,400,intermediate
Anguilla_megastoma,Anguillidae,1,1,0,3000,deep
Anguilla_nebulosa,Anguillidae,1,1,3,10,shallow
Anguilla_reinhardtii,Anguillidae,1,1,0,3000,deep
Anguilla_rostrata,Anguillidae,1,1,0,464,intermediate
Anoplogaster_cornuta,Anoplogastridae,0,1,2,4992,deep
Anoplopoma_fimbria,Anoplopomatidae,0,1,175,2740,deep
Erilepis_zonifer,Anoplopomatidae,0,1,0,680,intermediate
Antennarius_commerson,Antennariidae,0,1,0,70,shallow
Antennarius_hispidus,Antennariidae,0,1,0,90,shallow
Antennarius_maculatus,Antennariidae,0,1,1,15,shallow
Antennarius_multiocellatus,Antennariidae,0,1,0,66,shallow
Antennarius_pauciradiatus,Antennariidae,0,1,6,73,shallow
Antennarius_pictus,Antennariidae,0,1,0,75,shallow
Antennarius_striatus,Antennariidae,0,1,10,219,intermediate
Antennatus_bermudensis,Antennariidae,0,1,4,30,shallow
Antennatus_coccineus,Antennariidae,0,1,1,75,shallow
Antennatus_nummifer,Antennariidae,0,1,0,293,intermediate
Antennatus_rosaceus,Antennariidae,0,1,0,130,shallow
Antennatus_sanguineus,Antennariidae,0,1,0,40,shallow
Antennatus_tuberosus,Antennariidae,0,1,0,73,shallow
Echinophryne_crassispina,Antennariidae,0,1,0,20,shallow
Fowlerichthys_avalonis,Antennariidae,0,1,0,300,intermediate
Fowlerichthys_radiosus,Antennariidae,0,1,20,275,intermediate
Fowlerichthys_scriptissimus,Antennariidae,0,1,73,185,shallow
Histiophryne_bougainvilli,Antennariidae,0,1,0,6,shallow
Histiophryne_cryptacanthus,Antennariidae,0,1,5,130,shallow
Histiophryne_maggiewalker,Antennariidae,0,1,7,12,shallow
Histrio_histrio,Antennariidae,0,1,0,50,shallow
Kuiterichthys_furcipilis,Antennariidae,0,1,10,240,intermediate
Lophiocharon_lithinostomus,Antennariidae,0,1,1,10,shallow
Lophiocharon_trisignatus,Antennariidae,0,1,2,52,shallow
Rhycherus_filamentosus,Antennariidae,0,1,0,60,shallow
Tathicarpus_butleri,Antennariidae,0,1,0,146,shallow
Apistus_carinatus,Apistidae,0,1,14,60,shallow
Aploactisoma_milesii,Aploactinidae,0,1,0,6,shallow
Aplodactylus_arctidens,Aplodactylidae,0,1,0,40,shallow
Aplodactylus_etheridgii,Aplodactylidae,0,1,6,20,shallow
Aplodactylus_lophodon,Aplodactylidae,0,1,0,10,shallow
Apogon_aurolineatus,Apogonidae,0,1,1,75,shallow
Apogon_binotatus,Apogonidae,0,1,1,60,shallow
Apogon_caudicinctus,Apogonidae,0,1,0,12,shallow
Apogon_coccineus,Apogonidae,0,1,8,35,shallow
Apogon_deetsie,Apogonidae,0,1,25,53,shallow
Apogon_doryssa,Apogonidae,0,1,4,21,shallow
Apogon_erythrinus,Apogonidae,0,1,1,48,shallow
Apogon_guadalupensis,Apogonidae,0,1,9,18,shallow
Apogon_imberbis,Apogonidae,0,1,10,200,intermediate
Apogon_indicus,Apogonidae,0,1,6,8,shallow
Apogon_lachneri,Apogonidae,0,1,5,70,shallow
Apogon_maculatus,Apogonidae,0,1,0,128,shallow
Apogon_pacificus,Apogonidae,0,1,0,30,shallow
Apogon_phenax,Apogonidae,0,1,3,50,shallow
Apogon_pillionatus,Apogonidae,0,1,15,90,shallow
Apogon_planifrons,Apogonidae,0,1,3,30,shallow
Apogon_pseudomaculatus,Apogonidae,0,1,1,100,shallow
Apogon_quadrisquamatus,Apogonidae,0,1,1,75,shallow
Apogon_semiornatus,Apogonidae,0,1,5,30,shallow
Apogon_townsendi,Apogonidae,0,1,3,55,shallow
Apogonichthyoides_nigripinnis,Apogonidae,0,1,1,50,shallow
Apogonichthyoides_taeniatus,Apogonidae,0,1,5,20,shallow
Astrapogon_puncticulatus,Apogonidae,0,1,0,8,shallow
Astrapogon_stellatus,Apogonidae,0,1,1,40,shallow
Cercamia_eremia,Apogonidae,0,1,2,40,shallow
Cheilodipterus_artus,Apogonidae,0,1,3,158,shallow
Cheilodipterus_isostigmus,Apogonidae,0,1,4,40,shallow
Cheilodipterus_macrodon,Apogonidae,0,1,0,40,shallow
Cheilodipterus_quinquelineatus,Apogonidae,0,1,0,40,shallow
Foa_brachygramma,Apogonidae,1,1,0,134,shallow
Fowleria_aurita,Apogonidae,0,1,1,37,shallow
Fowleria_isostigma,Apogonidae,0,1,0,30,shallow
Fowleria_marmorata,Apogonidae,0,1,0,37,shallow
Fowleria_vaiulae,Apogonidae,0,1,3,25,shallow
Fowleria_variegata,Apogonidae,0,1,0,27,shallow
Gymnapogon_urospilotus,Apogonidae,0,1,0,18,shallow
Nectamia_bandanensis,Apogonidae,0,1,1,34,shallow
Nectamia_fusca,Apogonidae,0,1,1,20,shallow
Nectamia_savayensis,Apogonidae,0,1,3,25,shallow
Ostorhinchus_angustatus,Apogonidae,0,1,6,65,shallow
Ostorhinchus_apogonoides,Apogonidae,0,1,3,60,shallow
Ostorhinchus_aureus,Apogonidae,0,1,1,40,shallow
Ostorhinchus_cookii,Apogonidae,0,1,1,10,shallow
Ostorhinchus_endekataenia,Apogonidae,0,1,25,30,shallow
Ostorhinchus_fasciatus,Apogonidae,0,1,2,128,shallow
Ostorhinchus_holotaenia,Apogonidae,0,1,15,35,shallow
Ostorhinchus_luteus,Apogonidae,0,1,1,49,shallow
Ostorhinchus_nigrofasciatus,Apogonidae,0,1,3,50,shallow
Ostorhinchus_novemfasciatus,Apogonidae,0,1,1,4,shallow
Ostorhinchus_sealei,Apogonidae,0,1,3,25,shallow
Ostorhinchus_taeniophorus,Apogonidae,0,1,0,15,shallow
Phaeoptyx_conklini,Apogonidae,0,1,0,22,shallow
Phaeoptyx_pigmentaria,Apogonidae,0,1,13,50,shallow
Phaeoptyx_xenus,Apogonidae,0,1,5,60,shallow
Pristiapogon_exostigma,Apogonidae,0,1,3,40,shallow
Pristiapogon_fraenatus,Apogonidae,0,1,3,50,shallow
Pristiapogon_kallopterus,Apogonidae,0,1,3,158,shallow
Pristiapogon_taeniopterus,Apogonidae,0,1,1,42,shallow
Pristicon_trimaculatus,Apogonidae,0,1,1,35,shallow
Pseudamia_gelatinosa,Apogonidae,0,1,1,64,shallow
Rhabdamia_gracilis,Apogonidae,0,1,3,91,shallow
Sphaeramia_nematoptera,Apogonidae,0,1,1,14,shallow
Sphaeramia_orbicularis,Apogonidae,0,1,0,5,shallow
Zoramia_fragilis,Apogonidae,0,1,1,15,shallow
Anoplocapros_amygdaloides,Aracanidae,0,1,5,100,shallow
Anoplocapros_inermis,Aracanidae,0,1,10,300,intermediate
Anoplocapros_lenticularis,Aracanidae,0,1,10,220,intermediate
Aracana_aurita,Aracanidae,0,1,10,200,intermediate
Aracana_ornata,Aracanidae,0,1,5,60,shallow
Caprichthys_gymnura,Aracanidae,0,1,40,200,intermediate
Capropygia_unistriata,Aracanidae,0,1,60,200,intermediate
Kentrocapros_rosapinto,Aracanidae,0,1,125,250,intermediate
Argentina_sialis,Argentinidae,0,1,11,325,intermediate
Argentina_silus,Argentinidae,0,1,140,1440,deep
Argentina_sphyraena,Argentinidae,0,1,50,700,intermediate
Argentina_striata,Argentinidae,0,1,100,600,intermediate
Ariopsis_guatemalensis,Ariidae,1,1,0,20,shallow
Arius_maculatus,Ariidae,1,1,50,100,shallow
Arius_subrostratus,Ariidae,0,1,0,20,shallow
Arius_venosus,Ariidae,0,1,20,50,shallow
Bagre_marinus,Ariidae,0,1,0,50,shallow
Bagre_panamensis,Ariidae,0,1,3,177,shallow
Carlarius_heudelotii,Ariidae,1,1,15,75,shallow
Cathorops_spixii,Ariidae,0,1,1,50,shallow
Netuma_thalassina,Ariidae,1,1,10,195,shallow
Notarius_biffi,Ariidae,0,1,9,30,shallow
Notarius_grandicassis,Ariidae,0,1,1,20,shallow
Occidentarius_platypogon,Ariidae,0,1,6,107,shallow
Plicofollis_dussumieri,Ariidae,1,1,20,50,shallow
Plicofollis_tenuispinis,Ariidae,0,1,20,50,shallow
Plicofollis_tonggol,Ariidae,0,1,10,50,shallow
Sciades_parkeri,Ariidae,0,1,15,20,shallow
Sciades_sona,Ariidae,0,1,50,60,shallow
Ariomma_bondi,Ariommatidae,0,1,50,500,intermediate
Ariomma_indicum,Ariommatidae,0,1,20,300,intermediate
Ariomma_melanum,Ariommatidae,0,1,180,600,intermediate
Arripis_trutta,Arripidae,0,1,30,39,shallow
Ateleopus_japonicus,Ateleopodidae,0,1,140,600,intermediate
Ateleopus_natalensis,Ateleopodidae,0,1,145,660,intermediate
Ateleopus_purpureus,Ateleopodidae,0,1,100,600,intermediate
Ijimaia_loppei,Ateleopodidae,0,1,200,700,intermediate
Atherinason_hepsetoides,Atherinidae,0,1,1,30,shallow
Atherinomorus_lacunosus,Atherinidae,1,1,1,39,shallow
Atherinosoma_microstoma,Atherinidae,1,1,0,8,shallow
Leuresthes_tenuis,Atherinopsidae,0,1,0,18,shallow
Membras_martinica,Atherinopsidae,0,1,3,15,shallow
Menidia_beryllina,Atherinopsidae,1,1,0,30,shallow
Menidia_menidia,Atherinopsidae,0,1,0,3,shallow
Aulopus_filamentosus,Aulopidae,0,1,50,1000,deep
Hime_japonica,Aulopidae,0,1,85,510,intermediate
Aulorhynchus_flavidus,Aulorhynchidae,0,1,0,30,shallow
Aulostomus_chinensis,Aulostomidae,0,1,3,122,shallow
Aulostomus_maculatus,Aulostomidae,0,1,2,25,shallow
Aulostomus_strigosus,Aulostomidae,0,1,5,25,shallow
Abalistes_stellaris,Balistidae,0,1,40,100,shallow
Abalistes_stellatus,Balistidae,0,1,7,350,intermediate
Balistapus_undulatus,Balistidae,0,1,2,50,shallow
Balistes_capriscus,Balistidae,0,1,0,100,shallow
Balistes_polylepis,Balistidae,0,1,10,60,shallow
Balistes_punctatus,Balistidae,0,1,0,200,intermediate
Balistes_vetula,Balistidae,0,1,2,275,intermediate
Balistoides_conspicillum,Balistidae,0,1,1,75,shallow
Balistoides_viridescens,Balistidae,0,1,1,50,shallow
Canthidermis_maculata,Balistidae,0,1,1,110,shallow
Canthidermis_sufflamen,Balistidae,0,1,5,60,shallow
Melichthys_indicus,Balistidae,0,1,1,30,shallow
Melichthys_niger,Balistidae,0,1,0,75,shallow
Melichthys_vidua,Balistidae,0,1,4,60,shallow
Odonus_niger,Balistidae,0,1,5,40,shallow
Pseudobalistes_flavimarginatus,Balistidae,0,1,2,50,shallow
Pseudobalistes_fuscus,Balistidae,0,1,30,50,shallow
Pseudobalistes_naufragium,Balistidae,0,1,3,36,shallow
Rhinecanthus_aculeatus,Balistidae,0,1,0,50,shallow
Rhinecanthus_lunula,Balistidae,0,1,10,30,shallow
Rhinecanthus_rectangulus,Balistidae,0,1,10,20,shallow
Rhinecanthus_verrucosus,Balistidae,0,1,1,20,shallow
Sufflamen_albicaudatum,Balistidae,0,1,2,20,shallow
Sufflamen_bursa,Balistidae,0,1,3,90,shallow
Sufflamen_chrysopterum,Balistidae,0,1,1,30,shallow
Sufflamen_fraenatum,Balistidae,0,1,8,186,shallow
Sufflamen_verres,Balistidae,0,1,3,36,shallow
Xanthichthys_auromarginatus,Balistidae,0,1,8,150,shallow
Xanthichthys_mento,Balistidae,0,1,6,130,shallow
Xanthichthys_ringens,Balistidae,0,1,25,80,shallow
Banjos_banjos,Banjosidae,0,1,50,400,intermediate
Barbourisia_rufa,Barbourisiidae,0,1,120,2000,deep
Bathyclupea_argentea,Bathyclupeidae,0,1,505,677,intermediate
Bathylagus_antarcticus,Bathylagidae,0,1,0,4000,deep
Bathylagus_euryops,Bathylagidae,0,1,500,3237,deep
Bathylagus_pacificus,Bathylagidae,0,1,600,7700,deep
Bathylagus_tenuis,Bathylagidae,0,1,0,2600,deep
Dolicholagus_longirostris,Bathylagidae,0,1,200,1497,deep
Lipolagus_ochotensis,Bathylagidae,0,1,930,6100,deep
Pseudobathylagus_milleri,Bathylagidae,0,1,772,6600,deep
Bathymaster_caeruleofasciatus,Bathymasteridae,0,1,0,95,shallow
Bathymaster_derjugini,Bathymasteridae,0,1,0,65,shallow
Bathymaster_leurolepis,Bathymasteridae,0,1,0,80,shallow
Bathymaster_signatus,Bathymasteridae,0,1,0,825,intermediate
Ronquilus_jordani,Bathymasteridae,0,1,3,275,intermediate
Bathysaurus_ferox,Bathysauridae,0,1,600,3500,deep
Chatrabus_melanurus,Batrachoididae,0,1,120,600,intermediate
Halobatrachus_didactylus,Batrachoididae,0,1,10,50,shallow
Opsanus_tau,Batrachoididae,0,1,0,5,shallow
Porichthys_analis,Batrachoididae,0,1,0,224,intermediate
Porichthys_myriaster,Batrachoididae,0,1,0,126,shallow
Porichthys_notatus,Batrachoididae,0,1,0,366,intermediate
Porichthys_pauciradiatus,Batrachoididae,0,1,2,9,shallow
Porichthys_plectrodon,Batrachoididae,0,1,1,100,shallow
Porichthys_porosissimus,Batrachoididae,0,1,30,200,intermediate
Ablennes_hians,Belonidae,0,1,0,3,shallow
Cololabis_adocetus,Belonidae,0,1,0,1,shallow
Cololabis_saira,Belonidae,0,1,0,230,intermediate
Strongylura_exilis,Belonidae,1,1,0,100,shallow
Strongylura_incisa,Belonidae,0,1,0,3,shallow
Strongylura_leiura,Belonidae,0,1,0,3,shallow
Strongylura_strongylura,Belonidae,0,1,10,13,shallow
Strongylura_timucu,Belonidae,1,1,1,3,shallow
Tylosurus_acus_melanotus,Belonidae,1,1,0,1,shallow
Bembrops_anatirostris,Bembropidae,0,1,100,400,intermediate
Bembrops_gobioides,Bembropidae,0,1,100,724,intermediate
Bembrops_greyi,Bembropidae,0,1,200,420,intermediate
Bembrops_heterurus,Bembropidae,0,1,50,400,intermediate
Beryx_decadactylus,Berycidae,0,1,110,1000,deep
Beryx_mollis,Berycidae,0,1,100,500,intermediate
Beryx_splendens,Berycidae,0,1,25,1300,deep
Centroberyx_affinis,Berycidae,0,1,10,450,intermediate
Centroberyx_australis,Berycidae,0,1,80,300,intermediate
Centroberyx_druzhinini,Berycidae,0,1,128,200,intermediate
Centroberyx_gerrardi,Berycidae,0,1,10,500,intermediate
Centroberyx_lineatus,Berycidae,0,1,15,280,intermediate
Alticus_saliens,Blenniidae,0,1,0,2,shallow
Andamia_reyi,Blenniidae,0,1,0,3,shallow
Atrosalarias_fuscus,Blenniidae,0,1,2,12,shallow
Blenniella_chrysospilos,Blenniidae,0,1,0,6,shallow
Blenniella_paula,Blenniidae,0,1,0,3,shallow
Blennius_normani,Blenniidae,0,1,20,200,intermediate
Blennius_ocellaris,Blenniidae,0,1,10,400,intermediate
Chasmodes_bosquianus,Blenniidae,0,1,1,30,shallow
Chasmodes_saburrae,Blenniidae,0,1,0,6,shallow
Cirripectes_castaneus,Blenniidae,0,1,0,32,shallow
Cirripectes_filamentosus,Blenniidae,0,1,0,20,shallow
Cirripectes_fuscoguttatus,Blenniidae,0,1,0,8,shallow
Cirripectes_heemstraorum,Blenniidae,0,1,1,17,shallow
Cirripectes_quagga,Blenniidae,0,1,0,19,shallow
Cirripectes_stigmaticus,Blenniidae,0,1,0,20,shallow
Cirripectes_variolosus,Blenniidae,0,1,0,31,shallow
Ecsenius_bicolor,Blenniidae,0,1,1,25,shallow
Ecsenius_midas,Blenniidae,0,1,2,40,shallow
Ecsenius_pardus,Blenniidae,0,1,0,15,shallow
Entomacrodus_epalzeocheilos,Blenniidae,0,1,0,3,shallow
Entomacrodus_nigricans,Blenniidae,0,1,0,6,shallow
Entomacrodus_striatus,Blenniidae,0,1,0,3,shallow
Hypsoblennius_brevipinnis,Blenniidae,0,1,1,10,shallow
Hypsoblennius_gentilis,Blenniidae,0,1,0,25,shallow
Hypsoblennius_gilberti,Blenniidae,0,1,0,18,shallow
Hypsoblennius_invemar,Blenniidae,0,1,1,5,shallow
Hypsoblennius_jenkinsi,Blenniidae,0,1,1,21,shallow
Istiblennius_dussumieri,Blenniidae,0,1,0,3,shallow
Istiblennius_edentulus,Blenniidae,0,1,0,5,shallow
Istiblennius_lineatus,Blenniidae,0,1,0,3,shallow
Lipophrys_pholis,Blenniidae,0,1,0,8,shallow
Meiacanthus_grammistes,Blenniidae,0,1,1,20,shallow
Meiacanthus_smithi,Blenniidae,0,1,1,20,shallow
Microlipophrys_adriaticus,Blenniidae,0,1,0,5,shallow
Microlipophrys_canevae,Blenniidae,0,1,0,2,shallow
Microlipophrys_dalmatinus,Blenniidae,0,1,1,2,shallow
Microlipophrys_nigriceps,Blenniidae,0,1,0,6,shallow
Nannosalarias_nativitatis,Blenniidae,0,1,2,12,shallow
Omobranchus_obliquus,Blenniidae,0,1,0,3,shallow
Ophioblennius_steindachneri,Blenniidae,0,1,0,18,shallow
Parablennius_gattorugine,Blenniidae,0,1,3,32,shallow
Parablennius_intermedius,Blenniidae,0,1,1,10,shallow
Parablennius_marmoreus,Blenniidae,0,1,0,10,shallow
Parablennius_parvicornis,Blenniidae,0,1,0,1,shallow
Parablennius_pilicornis,Blenniidae,0,1,0,25,shallow
Parablennius_rouxi,Blenniidae,0,1,0,42,shallow
Parablennius_ruber,Blenniidae,0,1,2,20,shallow
Parablennius_sanguinolentus,Blenniidae,0,1,0,1,shallow
Parablennius_tentacularis,Blenniidae,0,1,3,15,shallow
Parablennius_thysanius,Blenniidae,0,1,1,10,shallow
Parablennius_zvonimiri,Blenniidae,0,1,6,12,shallow
Petroscirtes_breviceps,Blenniidae,0,1,1,15,shallow
Petroscirtes_mitratus,Blenniidae,0,1,0,8,shallow
Petroscirtes_variabilis,Blenniidae,0,1,1,10,shallow
Plagiotremus_azaleus,Blenniidae,0,1,2,23,shallow
Plagiotremus_rhinorhynchos,Blenniidae,0,1,1,40,shallow
Plagiotremus_tapeinosoma,Blenniidae,0,1,1,45,shallow
Rhabdoblennius_nitidus,Blenniidae,0,1,0,2,shallow
Salarias_alboguttatus,Blenniidae,0,1,1,8,shallow
Salarias_fasciatus,Blenniidae,0,1,0,8,shallow
Scartella_cristata,Blenniidae,0,1,0,10,shallow
Xiphasia_setifer,Blenniidae,0,1,2,1190,deep
Arnoglossus_capensis,Bothidae,0,1,1,200,intermediate
Arnoglossus_imperialis,Bothidae,0,1,20,350,intermediate
Arnoglossus_laterna,Bothidae,0,1,10,200,intermediate
Arnoglossus_tenuis,Bothidae,0,1,80,100,shallow
Arnoglossus_thori,Bothidae,0,1,15,300,intermediate
Asterorhombus_cocosensis,Bothidae,0,1,1,30,shallow
Bothus_lunatus,Bothidae,0,1,0,100,shallow
Bothus_mancus,Bothidae,0,1,3,150,shallow
Bothus_ocellatus,Bothidae,0,1,1,110,shallow
Bothus_pantherinus,Bothidae,0,1,3,150,shallow
